cwnd:vector Network_three_routers.client.tcp.conn-14 (#0 - WS_enabled-0-20200805-20:00:33-23494),,cwnd:vector Network_three_routers.other_client.tcp.conn-15 (#0 - WS_enabled-0-20200805-20:00:33-23494),
0.000295216,2904,0.000415136,2904
0.000567312,4356,0.000807152,4356
0.000687232,5808,0.000927072,5808
0.001046992,7260,0.001406752,7260
0.001166912,8712,0.001646592,8712
0.001286832,10164,0.001766512,10164
0.001526672,11616,0.002006352,11616
0.001886432,13068,0.002486032,13068
0.002126272,14520,0.002725872,14520
0.002246192,15972,0.002965712,15972
0.002366112,17424,0.003205552,17424
0.002605952,18876,0.003445392,18876
0.002845792,20328,0.003685232,20328
0.003085632,21780,0.003925072,21780
0.003325472,23232,0.004164912,23232
0.003565312,24684,0.004524672,24684
0.003805152,26136,0.004764512,26136
0.004044992,27588,0.005004352,27588
0.004284832,29040,0.005244192,29040
0.004404752,30492,0.005484032,30492
0.004644592,31944,0.005723872,31944
0.004884432,33396,0.005963712,33396
0.005124272,34848,0.006203552,34848
0.005364112,36300,0.006443392,36300
0.005603952,37752,0.006683232,37752
0.005843792,39204,0.006923072,39204
0.006083632,40656,0.007162912,40656
0.006323472,42108,0.007402752,42108
0.006563312,43560,0.007642592,43560
0.006803152,45012,0.007882432,45012
0.007042992,46464,0.008122272,46464
0.007282832,47916,0.008482032,47916
0.007522672,49368,0.008721872,49368
0.007762512,50820,0.008961712,50820
0.008002352,52272,0.009201552,52272
0.008242192,53724,0.009441392,53724
0.008362112,55176,0.009681232,55176
0.008601952,56628,0.009921072,56628
0.008841792,58080,0.010160912,58080
0.009081632,59532,0.010400752,59532
0.009321472,60984,0.010640592,60984
0.009561312,62436,0.010880432,62436
0.009801152,63888,0.011120272,63888
0.010040992,65340,0.011360112,65340
0.010280832,66792,0.011599952,66792
0.010520672,68244,0.011839792,68244
0.010760512,69696,0.012079632,69696
0.011000352,71148,0.012319472,71148
0.011240192,72600,0.012559312,72600
0.011480032,74052,0.012799152,74052
0.011719872,75504,0.013038992,75504
0.011959712,76956,1.363580883035,1452
0.012199552,78408,1.363879302764,2904
0.012439392,79860,1.364358982764,4356
0.012679232,81312,1.364598822764,5808
0.012919072,82764,1.365078502764,7260
0.013158912,84216,1.365318342764,8712
0.013278832,85668,1.365558182764,10164
0.013398752,87120,1.365798022764,11616
0.013518672,88572,1.366277702764,13068
0.013638592,90024,1.366517542764,14520
